,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
w_theta,0.048,0.018,0.015,0.083,0.0,0.0,5445.0,5845.0,1.0
w_phi,0.011,0.011,-0.01,0.032,0.0,0.0,5469.0,5983.0,1.0
w_inter,-0.042,0.024,-0.087,0.002,0.0,0.0,5205.0,5499.0,1.0
baseflux,0.014,0.006,0.004,0.024,0.0,0.0,8050.0,7892.0,1.0
sigma_q,0.026,0.009,0.013,0.042,0.0,0.0,5858.0,5294.0,1.0
mu_q[0],0.025,0.01,0.008,0.043,0.0,0.0,7024.0,5513.0,1.0
mu_q[1],0.026,0.009,0.012,0.042,0.0,0.0,7128.0,5896.0,1.0
mu_q[2],0.028,0.009,0.013,0.044,0.0,0.0,8598.0,7279.0,1.0
mu_q[3],0.029,0.01,0.012,0.047,0.0,0.0,10796.0,9358.0,1.0
mu_q[4],0.03,0.012,0.01,0.052,0.0,0.0,13316.0,10496.0,1.0
mu_q[5],0.02,0.006,0.01,0.032,0.0,0.0,8563.0,6330.0,1.0
mu_q[6],0.025,0.006,0.015,0.037,0.0,0.0,6840.0,5805.0,1.0
mu_q[7],0.033,0.007,0.021,0.047,0.0,0.0,6502.0,5528.0,1.0
mu_q[8],0.038,0.009,0.023,0.054,0.0,0.0,7006.0,6334.0,1.0
mu_q[9],0.043,0.011,0.025,0.063,0.0,0.0,7644.0,7429.0,1.0
mu_q[10],0.014,0.006,0.004,0.024,0.0,0.0,8050.0,7892.0,1.0
mu_q[11],0.025,0.006,0.015,0.035,0.0,0.0,9549.0,9010.0,1.0
mu_q[12],0.041,0.009,0.024,0.059,0.0,0.0,7155.0,6090.0,1.0
mu_q[13],0.051,0.013,0.028,0.076,0.0,0.0,6455.0,6029.0,1.0
mu_q[14],0.062,0.017,0.032,0.093,0.0,0.0,6121.0,5764.0,1.0
